Item;Lote;Owner;Prior;Descri‡Æo;Farol;Lideran‡a;Escopo;Sistema;Status;Classifica‡Æo;Prazo PRD;Dev;OBS;Requisitos
AGENDAMENTO NA PENDENCIA TCNICA;Opera‡Æo FTTH;Sally;3 - BAIXA;Travar agendamento quando estivermos tratando uma pendencia t‚cnica, para nÆo gerar SA OCO e ocupar slot indevidamente.;1- OK, sem risco;Ricardo;OK;Appointment / Order Entry;Em planejamento;;25/06/2026;Murilo;"Solu‡Æo:

'1- Order Entry: Criar uma consulta de OS a partir de um AssociateDocument, que retorna o status da Ordem.
2- MS Appointment: Alterar consulta de slot para Reparo e Instala‡Æo, verificando em que etapa est  a OS e negando caso esteja numa pendˆncia t‚cnica.";"Regra de Bloqueio de Agendamento por Pendˆncia T‚cnica

No momento da consulta de disponibilidade de agendamento em campo, o sistema deve verificar se j  existe Ordem de Servi‡o aberta para o mesmo documento associado que esteja com status de Pendˆncia T‚cnica.
Caso seja identificada Ordem com Pendˆncia T‚cnica ativa, o sistema deve:
- Bloquear o prosseguimento do fluxo de agendamento;
- Informar … Tenant a mensagem: 
         { ""control"": {
            ""type"": ""E"",
             ""code"": 406,
             ""message"": ""Ordem em Pendˆncia T‚cnica""
          }
    }"
API REPARO X MASSIVO;Opera‡Æo FTTH;Luiz;3 - BAIXA;Realizar adequa‡Æo nas APIs de Other tenants para negar abertura de reparo quando houver evento massivo;1- OK, sem risco;Quelly;OK;Order Entry;Em Planejamento;Fast Track;25/04/2026;Plataforma;"11/03/2026: Envio do DRI
11/03/2026: Valida‡Æo do DRI
25/03/2026: Escrita das Estorias
27/03/2026: Valida‡Æo das Estorias.
05/04/2026: Inicio Desenvolvimento
11/04/2026: Fim Desenvolvimento
18/03/2026: Fim Teste Integrado
21/04/2026: Teste Assistido por execu‡Æo
25/04/2026: Implanta‡Æo em Produ‡Æo";"- O sistema deve permitir a habilita‡Æo ou desabilita‡Æo, por Tenant, da regra de bloqueio de abertura de Chamado T‚cnico quando houver Evento Massivo em andamento, garantindo zero impacto para Tenants nÆo habilitadas.
- O sistema deve executar uma valida‡Æo s¡ncrona da existˆncia de Evento Massivo em andamento na regiÆo do assinante, antes da cria‡Æo do Trouble Ticket.
- Quando identificado Evento Massivo aplic vel e Tenant habilitada, o sistema deve:
*Impedir a cria‡Æo do Trouble Ticket
*Impedir gera‡Æo de Ordem de Servi‡o no SOM
*Impedir consumo de capacidade de campo
*Retornar HTTP 406 ? Not Acceptable com mensagem padronizada
- Em caso de falha t‚cnica, indisponibilidade ou timeout na consulta ao Evento Massivo, o sistema nÆo deve bloquear a abertura do chamado, garantindo continuidade do neg¢cio.
- O sistema deve permitir configura‡Æo parametriz vel dos tipos de evento"
MANTER CGNAT APàS MUDAN€A DE PREDIO;Engenharia;Luciene;1- ALTA;Caso o HC possuir CGNAT, ap¢s a migra‡Æo de pr‚dios atrav‚s do Maestro, dever  ser reaprovisionado no pr‚dio Destino;3- NOK, sem data;Marco;OK;Maestro;;;TBD;;"Falta capacidade interna do MAESTRO. A contratar a Squadra

ADRIANA LEVANTANDO ESFOR€O/PRAZO COM Squadra";
NETQ TIMEOUT;Opera‡Æo FTTH;Luiz;1- ALTA;Separar o timeout de teste final (GPON) dos demais timeouts nos teste do NETQ;3- NOK, sem data;Marco;OK;NETQ;;;TBD;;Openlabs cobrou 110K para a altera‡Æo.;
SA AUTOMµTICO;Opera‡Æo FTTH;;2- MDIA;Retirar regra de gera‡Æo de SA autom tico para reparo com insucesso na visita, como casa fechada e outros;3- NOK, sem data;Quelly;NOK;SOM;Em Discovery;;TBD;Oracle;;
V.TAL SINALIZAR SE ESTµ SEM SLOT;Opera‡Æo FTTH;Sally;2- MDIA;Dependemos de informa‡Æo da Tenant na abertura da ordem para incluir a ordem na pendencia de sem slot, sendo que conseguimos identificar do nosso lado.;3- NOK, sem data;Quelly;NOK;SOM;Em Discovery;;TBD;Oracle;;
TROCA DE CDOE;Opera‡Æo FTTH;Cupido;3 - BAIXA;Ajustar o fluxo da Troca de CDOE, onde o SOM deve cancelar o pedido de troca quando der algum erro na tarefa T034.;3- NOK, sem data;Quelly;OK;SOM;Aguardando DRI;Fast Track;TBD;Oracle;Aguardando Contrata‡Æo Recurso SOM;"O sistema deve identificar quando a ordem de troca de CDOE cair na tarefa T034 com erro.
O sistema deve concluir automaticamente a ordem secund ria de troca quando o erro estiver entre os erros mapeados na T034.
O encerramento autom tico nÆo deve impactar a ordem principal de instala‡Æo.
O sistema nÆo deve manter ordem de troca aberta ap¢s retorno de erro definitivo na T034."
AREA DE RISCO INDETERMINADA;Opera‡Æo FTTH;Sally;3 - BAIXA;Automatizar tratamento da  rea de risco indeterminada. Automatizar tratamento da  rea de risco indeterminada (Ap¢s 15 dias tirar da pendˆncia e colocar na 7067 automaticamente);3- NOK, sem data;Quelly;NOK;SOM;Em Discovery;;TBD;Oracle;;
PEDIDO DUPLICADO;Opera‡Æo FTTH;Sally;1- ALTA;Evitar fraude (Evitar fraude e ocupa‡Æo de slot indevido para vendas duplicadas da mesma Tenant, evitando ocupa‡Æo de facilidade desnecess ria.);2- OK, com risco;Quelly;OK;Order Entry;Aguardando DRI;Fast Track;Despriorizado;Plataforma;Dispriorizado.;"Regra de Bloqueio para Cria‡Æo de Ordem de Instala‡Æo Duplicada

O sistema deve impedir a cria‡Æo de uma nova Ordem de Instala‡Æo quando j  existir Ordem de Instala‡Æo em aberto que atenda simultaneamente aos seguintes crit‚rios:

- Mesma Tenant
- Mesmo SubscriberId
- Mesmo AddressId
- Tipo da ordem = Instala‡Æo
- Status da Ordem diferente de Encerrada ou Cancelada (ou seja, qualquer status que represente ordem ativa/em andamento)

Caso seja identificada Ordem ativa com os crit‚rios acima, o sistema deve:
- Bloquear a cria‡Æo da nova Ordem de Instala‡Æo;
- Informar … Tenant que j  existe uma Ordem de Instala‡Æo aberta para este cliente."
SEGMENTAR FILAS SMART DESK;Opera‡Æo FTTH;Cupido;1- ALTA;Possibilitar o apontamento das chamadas de pendenciamento de reparos para uma c‚lula de valida‡Æo em outra EPS, via CCIP;1- OK, sem risco;Ricardo;OK;Smartdesk;Em Planejamento;Holding;Despriorizado em 17/03;Murilo;"Risco: nunca termos desenvolvido no Smartdesk. 1§ demanda.
Estimativa 2 Semana de dev - Ajuste em varios flows e necessario testes";"Objetivo (Smartdesk / CCIP)
Possibilitar o direcionamento das chamadas de pendenciamento de reparos para uma c‚lula de valida‡Æo localizada em outra EPS, por meio de integra‡Æo via CCIP.

Como funciona
? A chamada de reparo  ‚ classificada como pendenciamento no Smartdesk.
? O sistema identifica a necessidade de valida‡Æo especializada.
? A chamada ‚  direcionada para uma c‚lula espec¡fica em outra EPS, via regra integrada ao CCIP.
? A c‚lula realiza a valida‡Æo e devolve o fluxo para continuidade do atendimento.

Regras Aplicadas
? Permitir segmenta‡Æo de filas por tipo de pendenciamento.
? Habilitar roteamento entre EPS distintas via CCIP.
? Garantir manuten‡Æo da rastreabilidade da chamada durante a transferˆncia.
? Preservar SLAs e regras j  existentes de tratamento de reparo.

Comportamento esperado
? Especializa‡Æo do tratamento de pendˆncias.
? Melhor controle e qualidade na valida‡Æo de reparos.
? Redu‡Æo de retrabalho e reencaminhamentos indevidos."
AJUSTE ENTRADA NO TRABALHO;Opera‡Æo FTTH;Sally;2- MDIA;Poder configurar quantos minutos antes do inicio do calend rio, o t‚cnico poder  dar entrada no trabalho e consultar a primeira atividade;4- NOVA DEM;Ricardo;;Opera‡Æo Mobile;Aguardando DRI;;;Murilo;Permitir configurar antecedˆncia m¡nima (em minutos) para entrada no trabalho e consulta da primeira atividade, corrigindo travamento atual da API do OPM que for‡a 0 horas;Atualmente a API do OPM est  marretando sempre 0 horas nesse parƒmetro, permitindo que o t‚cnico de entrada no trabalho somente no hor rio de in¡cio do calend rio.
LOCALIZA€ÇO DE ENDERE€O NIO;Opera‡Æo FTTH;Sally;2- MDIA;Disponibilizar no SmartDesk informa‡äes de endere‡o, foto e hist¢rico de BAs anteriores para embasar o t‚cnico na instala‡Æo FTTH NIO, reduzindo pendenciamentos por endere‡o nÆo localizado na segunda visita;4- NOVA DEM;Ricardo;;SmartDesk;Aguardando DRI;;;Murilo;;"Contexto: t‚cnicos em instala‡Æo FTTH NIO enfrentam situa‡äes em que o endere‡o foi localizado na primeira visita, mas nÆo na segunda.
Proposta: disponibilizar via SmartDesk informa‡äes adicionais para o t‚cnico, incluindo:
Endere‡o registrado anteriormente.
Foto associada.
Informa‡äes dos BA?s anteriores.
Objetivo: dar embasamento ao t‚cnico para evitar pendenciamento ou inefic cia.
Observa‡Æo: j  existe uma view atualizada do lado de vocˆs para disponibilizar essas informa‡äes."
